URL : https://github.com/mathieusaade/universal-wiki-converter

Tag : 4.0.0

Analysis date : 13/09/2016 15:00

Eclipse version : Luna 4.4.1

Summary (# items / category)
*  231    Potential Porgramming Problems
*   20    Name Shadowing and Conflicts
* 1335    Code Style
*   82    Deprecation
*  711    Type Safety and Raw Types
*  909    Unnecessary Code

Category : Potential Programming Problems
    Description	Resource	Path	Location	Type
    Null comparison always yields false: The variable root cannot be null at this location	BaseHierarchy.java	/uwc/src/main/java/com/atlassian/uwc/hierarchies	line 65	Java Problem
    Redundant null check: The variable parentNode cannot be null at this location	Many2OneHierarchy.java	/uwc/src/main/java/com/atlassian/uwc/hierarchies	line 70	Java Problem
    Potential null pointer access: The variable actualRootNode may be null at this location	FilepathHierarchyTest.java	/uwc/src/main/java/com/atlassian/uwc/hierarchies	line 778	Java Problem
    Potential null pointer access: The variable flowernode may be null at this location	ContentHierarchyTest.java	/uwc/src/main/java/com/atlassian/uwc/hierarchies	line 243	Java Problem
    Potential null pointer access: The variable flowernode may be null at this location	ContentHierarchyTest.java	/uwc/src/main/java/com/atlassian/uwc/hierarchies	line 331	Java Problem
    Potential null pointer access: The variable flowernode may be null at this location	ContentHierarchyTest.java	/uwc/src/main/java/com/atlassian/uwc/hierarchies	line 399	Java Problem
    Potential null pointer access: The variable nutnode may be null at this location	ContentHierarchyTest.java	/uwc/src/main/java/com/atlassian/uwc/hierarchies	line 257	Java Problem
    Potential null pointer access: The variable nutnode may be null at this location	ContentHierarchyTest.java	/uwc/src/main/java/com/atlassian/uwc/hierarchies	line 345	Java Problem
    Potential null pointer access: The variable nutnode may be null at this location	ContentHierarchyTest.java	/uwc/src/main/java/com/atlassian/uwc/hierarchies	line 408	Java Problem
    Potential null pointer access: The variable treenode may be null at this location	ContentHierarchyTest.java	/uwc/src/main/java/com/atlassian/uwc/hierarchies	line 234	Java Problem
    Potential null pointer access: The variable treenode may be null at this location	ContentHierarchyTest.java	/uwc/src/main/java/com/atlassian/uwc/hierarchies	line 322	Java Problem
    The switch statement should have a default case	SmfHierarchyTest.java	/uwc/src/main/java/com/atlassian/uwc/hierarchies	line 600	Java Problem
    Unnecessary semicolon	DocDirectoryHierarchyTest.java	/uwc/src/main/java/com/atlassian/uwc/hierarchies	line 85	Java Problem
    Unnecessary semicolon	Many2OneHierarchy.java	/uwc/src/main/java/com/atlassian/uwc/hierarchies	line 101	Java Problem
    Unnecessary semicolon	MetaHierarchy.java	/uwc/src/main/java/com/atlassian/uwc/hierarchies	line 51	Java Problem
    Potential null pointer access: This expression of type Boolean may be null but requires auto-unboxing	FilterChain.java	/uwc/src/main/java/com/atlassian/uwc/filters	line 119	Java Problem
    The enum constant FILE needs a corresponding case label in this enum switch on MindtouchFileIdParser.Type	MindtouchFileIdParser.java	/uwc/src/main/java/com/atlassian/uwc/exporters/mindtouch	line 59	Java Problem
    The enum constant PAGE needs a corresponding case label in this enum switch on MindtouchPagelistParser.Type	MindtouchPagelistParser.java	/uwc/src/main/java/com/atlassian/uwc/exporters/mindtouch	line 86	Java Problem
    The enum constant PAGE needs a corresponding case label in this enum switch on MindtouchPagelistParser.Type	MindtouchPagelistParser.java	/uwc/src/main/java/com/atlassian/uwc/exporters/mindtouch	line 97	Java Problem
    The enum constant SUBPAGES needs a corresponding case label in this enum switch on MindtouchPagelistParser.Type	MindtouchPagelistParser.java	/uwc/src/main/java/com/atlassian/uwc/exporters/mindtouch	line 97	Java Problem
    The enum constant TITLE needs a corresponding case label in this enum switch on MindtouchPagelistParser.Type	MindtouchPagelistParser.java	/uwc/src/main/java/com/atlassian/uwc/exporters/mindtouch	line 55	Java Problem
    The enum constant TITLE needs a corresponding case label in this enum switch on MindtouchPagelistParser.Type	MindtouchPagelistParser.java	/uwc/src/main/java/com/atlassian/uwc/exporters/mindtouch	line 86	Java Problem
    The switch over the enum type MindtouchFileIdParser.Type should have a default case	MindtouchFileIdParser.java	/uwc/src/main/java/com/atlassian/uwc/exporters/mindtouch	line 46	Java Problem
    The switch over the enum type MindtouchFileIdParser.Type should have a default case	MindtouchFileIdParser.java	/uwc/src/main/java/com/atlassian/uwc/exporters/mindtouch	line 59	Java Problem
    The switch over the enum type MindtouchPagelistParser.Type should have a default case	MindtouchPagelistParser.java	/uwc/src/main/java/com/atlassian/uwc/exporters/mindtouch	line 55	Java Problem
    The switch over the enum type MindtouchPagelistParser.Type should have a default case	MindtouchPagelistParser.java	/uwc/src/main/java/com/atlassian/uwc/exporters/mindtouch	line 86	Java Problem
    The switch over the enum type MindtouchPagelistParser.Type should have a default case	MindtouchPagelistParser.java	/uwc/src/main/java/com/atlassian/uwc/exporters/mindtouch	line 97	Java Problem
    Unnecessary semicolon	Page.java	/uwc/src/main/java/com/atlassian/uwc/exporters/liferay/digester	line 10	Java Problem
    Unnecessary semicolon	Pages.java	/uwc/src/main/java/com/atlassian/uwc/exporters/liferay/digester	line 9	Java Problem
    Null comparison always yields false: The variable text cannot be null at this location	MediaWikiExporter.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 574	Java Problem
    Potential null pointer access: The variable buf3 may be null at this location	SwikiFile.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 448	Java Problem
    Potential null pointer access: The variable children may be null at this location	MindtouchExporterTest.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 595	Java Problem
    Potential null pointer access: The variable container may be null at this location	JiveExporter.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 538	Java Problem
    Potential null pointer access: The variable data may be null at this location	MediaWikiExporter.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 819	Java Problem
    Potential null pointer access: The variable data may be null at this location	MediaWikiExporter.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 861	Java Problem
    Potential null pointer access: The variable filestream may be null at this location	MindtouchExporter.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 464	Java Problem
    Potential null pointer access: The variable outstream may be null at this location	MindtouchExporter.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 463	Java Problem
    Potential null pointer access: The variable pagedata may be null at this location	MediaWikiExporter.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 405	Java Problem
    Potential null pointer access: The variable pageData may be null at this location	MediaWikiExporter.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 593	Java Problem
    Potential null pointer access: The variable utf8Encoded may be null at this location	SMFExporterTest.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 973	Java Problem
    Resource leak: '<unassigned Closeable value>' is never closed	MoinmoinExporter.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 340	Java Problem
    Resource leak: '<unassigned Closeable value>' is never closed	MoinmoinExporter.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 343	Java Problem
    Resource leak: '<unassigned Closeable value>' is never closed	PmwikiExporter.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 136	Java Problem
    Resource leak: '<unassigned Closeable value>' is never closed	PmwikiExporter.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 139	Java Problem
    Resource leak: '<unassigned Closeable value>' is never closed	SwikiFile.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 374	Java Problem
    Resource leak: '<unassigned Closeable value>' is never closed	SwikiFile.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 377	Java Problem
    Resource leak: 'br' is never closed	MoinmoinExporter.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 393	Java Problem
    Resource leak: 'in' is never closed	SharepointExporterTest.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 1102	Java Problem
    Resource leak: 'textData' is never closed	MediaWikiExporter.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 470	Java Problem
    Resource leak: 'textData' is never closed	MediaWikiExporter.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 470	Java Problem
    The switch statement should have a default case	JiveExporter.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 885	Java Problem
    The switch statement should have a default case	MindtouchExporterTest.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 339	Java Problem
    The switch statement should have a default case	MindtouchExporterTest.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 406	Java Problem
    The switch statement should have a default case	MindtouchExporterTest.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 480	Java Problem
    The switch statement should have a default case	MindtouchExporterTest.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 581	Java Problem
    Unnecessary semicolon	SMFExporter.java	/uwc/src/main/java/com/atlassian/uwc/exporters	line 689	Java Problem
    The enum constant BOLD needs a corresponding case label in this enum switch on BasicParser.Type	BasicParser.java	/uwc/src/main/java/com/atlassian/uwc/converters/xml	line 97	Java Problem
    The enum constant BREAK needs a corresponding case label in this enum switch on BasicParser.Type	BasicParser.java	/uwc/src/main/java/com/atlassian/uwc/converters/xml	line 85	Java Problem
    The enum constant BREAK needs a corresponding case label in this enum switch on BasicParser.Type	BasicParser.java	/uwc/src/main/java/com/atlassian/uwc/converters/xml	line 109	Java Problem
    The enum constant ITAL needs a corresponding case label in this enum switch on BasicParser.Type	BasicParser.java	/uwc/src/main/java/com/atlassian/uwc/converters/xml	line 97	Java Problem
    The enum constant ITEM needs a corresponding case label in this enum switch on ListParser.Type	ListParser.java	/uwc/src/main/java/com/atlassian/uwc/converters/xml	line 81	Java Problem
    The enum constant QUOTE needs a corresponding case label in this enum switch on BasicParser.Type	BasicParser.java	/uwc/src/main/java/com/atlassian/uwc/converters/xml	line 85	Java Problem
    The enum constant QUOTE needs a corresponding case label in this enum switch on BasicParser.Type	BasicParser.java	/uwc/src/main/java/com/atlassian/uwc/converters/xml	line 109	Java Problem
    The enum constant STRIKE needs a corresponding case label in this enum switch on BasicParser.Type	BasicParser.java	/uwc/src/main/java/com/atlassian/uwc/converters/xml	line 97	Java Problem
    The enum constant TABLE needs a corresponding case label in this enum switch on SimpleTableParser.Type	SimpleTableParser.java	/uwc/src/main/java/com/atlassian/uwc/converters/xml	line 47	Java Problem
    The enum constant UNDERLINE needs a corresponding case label in this enum switch on BasicParser.Type	BasicParser.java	/uwc/src/main/java/com/atlassian/uwc/converters/xml	line 97	Java Problem
    The switch over the enum type BasicParser.Type should have a default case	BasicParser.java	/uwc/src/main/java/com/atlassian/uwc/converters/xml	line 67	Java Problem
    The switch over the enum type BasicParser.Type should have a default case	BasicParser.java	/uwc/src/main/java/com/atlassian/uwc/converters/xml	line 85	Java Problem
    The switch over the enum type BasicParser.Type should have a default case	BasicParser.java	/uwc/src/main/java/com/atlassian/uwc/converters/xml	line 97	Java Problem
    The switch over the enum type BasicParser.Type should have a default case	BasicParser.java	/uwc/src/main/java/com/atlassian/uwc/converters/xml	line 109	Java Problem
    The switch over the enum type ContentFormattingTableParser.Type should have a default case	ContentFormattingTableParser.java	/uwc/src/main/java/com/atlassian/uwc/converters/xml	line 63	Java Problem
    The switch over the enum type ContentFormattingTableParser.Type should have a default case	ContentFormattingTableParser.java	/uwc/src/main/java/com/atlassian/uwc/converters/xml	line 109	Java Problem
    The switch over the enum type ListParser.Type should have a default case	ListParser.java	/uwc/src/main/java/com/atlassian/uwc/converters/xml	line 64	Java Problem
    The switch over the enum type ListParser.Type should have a default case	ListParser.java	/uwc/src/main/java/com/atlassian/uwc/converters/xml	line 81	Java Problem
    The switch over the enum type SimpleTableParser.Type should have a default case	SimpleTableParser.java	/uwc/src/main/java/com/atlassian/uwc/converters/xml	line 47	Java Problem
    The switch over the enum type SimpleTableParser.Type should have a default case	SimpleTableParser.java	/uwc/src/main/java/com/atlassian/uwc/converters/xml	line 59	Java Problem
    Redundant assignment: The variable eachProtocol can only be null at this location	TWikLinkiPostProcessor.java	/uwc/src/main/java/com/atlassian/uwc/converters/twiki	line 102	Java Problem
    Potential null pointer access: The variable cc may be null at this location	TWikiRegexConverterCleanerWrapper.java	/uwc/src/main/java/com/atlassian/uwc/converters/twiki	line 58	Java Problem
    Redundant assignment: The variable page can only be null at this location	AttachmentConverterTest.java	/uwc/src/main/java/com/atlassian/uwc/converters/tikiwiki	line 679	Java Problem
    Redundant null check: The variable newpath cannot be null at this location	AttachmentConverter.java	/uwc/src/main/java/com/atlassian/uwc/converters/tikiwiki	line 523	Java Problem
    Potential null pointer access: The variable attachment may be null at this location	AttachmentConverterTest.java	/uwc/src/main/java/com/atlassian/uwc/converters/tikiwiki	line 231	Java Problem
    Potential null pointer access: The variable attachment may be null at this location	AttachmentConverterTest.java	/uwc/src/main/java/com/atlassian/uwc/converters/tikiwiki	line 260	Java Problem
    Potential null pointer access: The variable attachment may be null at this location	AttachmentConverterTest.java	/uwc/src/main/java/com/atlassian/uwc/converters/tikiwiki	line 290	Java Problem
    Potential null pointer access: The variable attachment may be null at this location	AttachmentConverterTest.java	/uwc/src/main/java/com/atlassian/uwc/converters/tikiwiki	line 443	Java Problem
    Potential null pointer access: The variable attachment may be null at this location	AttachmentConverterTest.java	/uwc/src/main/java/com/atlassian/uwc/converters/tikiwiki	line 490	Java Problem
    Potential null pointer access: The variable attachment may be null at this location	AttachmentConverterTest.java	/uwc/src/main/java/com/atlassian/uwc/converters/tikiwiki	line 516	Java Problem
    Potential null pointer access: The variable file may be null at this location	AttachmentConverterTest.java	/uwc/src/main/java/com/atlassian/uwc/converters/tikiwiki	line 565	Java Problem
